Age,Gender,Country,family_history,self_employed,no_employees,tech_company,Organizational_Care_1,Organizational_Care_2,Organizational_Access,Organizational_Support,Organizational_Protection,Organizational_Leave,mentalhealthconsequence,coworkers,supervisors,mentalimportance,mh_current,mh_diagnosed,mh_past,mh_treated,work_interfere_impact,work_interfere_treated,work_interfere_untreated,Organizational_Care_1_clean,Organizational_Access_clean,Organizational_Support_clean,Organizational_Protection_clean,Organizational_Leave_clean
27.0,Female,United Kingdom,No,0,100-500,1.0,0.0,2.0,1.0,0.0,2.0,,"Yes, I experienced",Yes,Yes,0.0,Possibly,No response,Possibly,1,Unknown,Sometimes,Sometimes,No,Yes,No,I don't know,I don't know
31.0,Male,United Kingdom,No,0,100-500,1.0,1.0,0.0,1.0,0.0,2.0,,"Yes, I observed",Yes,Maybe,2.0,Possibly,No response,Possibly,0,Unknown,Not applicable to me,Sometimes,Yes,Yes,No,I don't know,I don't know
36.0,Male,United States of America,Yes,0,6-25,1.0,2.0,0.0,0.0,2.0,1.0,5.0,"Yes, I experienced",Maybe,Yes,1.0,Yes,Yes,Yes,1,Unknown,Sometimes,Sometimes,I don't know,No,I don't know,Yes,Difficult
22.0,Male,United States of America,I don't know,0,More than 1000,1.0,1.0,2.0,1.0,2.0,1.0,5.0,Maybe/Not sure,Yes,Yes,5.0,Yes,Yes,No,1,Unknown,Sometimes,Often,Yes,Yes,I don't know,Yes,Difficult
52.0,Female,United States of America,Yes,1,Unknown,Unknown,,,,,,,No,Unknown,Yes,Unknown,No,No response,Yes,1,Yes,Often,Sometimes,Unknown,Unknown,Unknown,Unknown,Unknown
30.0,Male,United States of America,Yes,0,100-500,1.0,1.0,2.0,0.0,0.0,1.0,2.0,"Yes, I observed",Maybe,Maybe,5.0,No,No response,No,0,Unknown,Rarely,Not applicable to me,Yes,No,No,Yes,Somewhat easy
36.0,Female,United States of America,Yes,0,6-25,1.0,1.0,0.0,1.0,0.0,1.0,1.0,No,No,Yes,10.0,Yes,Yes,No,1,Unknown,Rarely,Often,Yes,Yes,No,Yes,Very easy
38.0,Female,United States of America,Yes,0,26-100,1.0,1.0,0.0,0.0,0.0,2.0,2.0,No,Maybe,Yes,8.0,No,No response,No,1,Unknown,Not applicable to me,Not applicable to me,Yes,No,No,I don't know,Somewhat easy
35.0,Male,Switzerland,I don't know,0,100-500,0.0,2.0,0.0,0.0,0.0,1.0,1.0,No,Maybe,Maybe,7.0,Don't Know,No response,No,0,Unknown,Not applicable to me,Not applicable to me,I don't know,No,No,Yes,Very easy
36.0,Male,India,No,1,Unknown,Unknown,,,,,,,"Yes, I experienced",Unknown,Yes,Unknown,Possibly,No response,No,1,Unsure,Often,Sometimes,Unknown,Unknown,Unknown,Unknown,Unknown
40.0,Male,United States of America,Yes,0,100-500,0.0,1.0,0.0,1.0,0.0,2.0,,"Yes, I experienced",No,No,0.0,Yes,Yes,Possibly,1,Unknown,Often,Sometimes,Yes,Yes,No,I don't know,I don't know
35.0,Male,United States of America,Yes,0,100-500,1.0,2.0,2.0,0.0,0.0,2.0,5.0,"Yes, I experienced",No,Maybe,3.0,Yes,Yes,Yes,0,Unknown,Sometimes,Often,I don't know,No,No,I don't know,Difficult
23.0,Male,Russia,No,0,More than 1000,1.0,0.0,0.0,0.0,0.0,2.0,3.0,Maybe/Not sure,Yes,Maybe,7.0,No,No response,No,0,Unknown,Sometimes,Not applicable to me,No,No,No,I don't know,Neither easy nor difficult
22.0,Female,United States of America,I don't know,0,More than 1000,1.0,2.0,2.0,0.0,0.0,2.0,3.0,Maybe/Not sure,Maybe,Maybe,2.0,Yes,No,Unknown,1,Unknown,Sometimes,Often,I don't know,No,No,I don't know,Neither easy nor difficult
34.0,Female,United States of America,Yes,0,26-100,1.0,2.0,2.0,,2.0,1.0,1.0,No,Yes,Maybe,5.0,Yes,Yes,Yes,1,Unknown,Sometimes,Sometimes,I don't know,Unknown,I don't know,Yes,Very easy
28.0,Male,United States of America,No,0,100-500,0.0,1.0,2.0,0.0,0.0,2.0,2.0,"Yes, I experienced",Maybe,Yes,3.0,Yes,Yes,No,1,Unknown,Rarely,Often,Yes,No,No,I don't know,Somewhat easy
38.0,Male,Bangladesh,No,0,26-100,0.0,0.0,0.0,0.0,0.0,1.0,3.0,"Yes, I experienced",Yes,Yes,9.0,Possibly,No response,No,0,Unknown,Never,Sometimes,No,No,No,Yes,Neither easy nor difficult
53.0,Male,United States of America,No,1,Unknown,Unknown,,,,,,,No,Unknown,Yes,Unknown,No,No response,No,0,Yes,Not applicable to me,Not applicable to me,Unknown,Unknown,Unknown,Unknown,Unknown
21.0,Male,Germany,No,0,6-25,1.0,2.0,0.0,0.0,0.0,2.0,2.0,No,Maybe,Maybe,3.0,Possibly,No response,Possibly,0,Unknown,Rarely,Sometimes,I don't know,No,No,I don't know,Somewhat easy
35.0,Female,United Kingdom,Yes,0,More than 1000,0.0,2.0,2.0,0.0,0.0,2.0,3.0,Maybe/Not sure,Maybe,Maybe,3.0,Don't Know,No response,No,0,Unknown,Not applicable to me,Not applicable to me,I don't know,No,No,I don't know,Neither easy nor difficult
22.0,Male,United Kingdom,Yes,0,6-25,1.0,0.0,0.0,0.0,0.0,2.0,3.0,No,No,No,2.0,Possibly,No response,Possibly,0,Unknown,Sometimes,Sometimes,No,No,No,I don't know,Neither easy nor difficult
18.0,Male,United Kingdom,Yes,0,100-500,0.0,,1.0,,1.0,1.0,4.0,No,Yes,Yes,7.0,Possibly,No response,Possibly,1,Unknown,Never,Sometimes,Not eligible for coverage / NA,Unknown,Yes,Yes,Somewhat difficult
37.0,Female,United States of America,Yes,0,26-100,0.0,2.0,0.0,0.0,0.0,2.0,5.0,"Yes, I observed",Yes,Yes,2.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,I don't know,No,No,I don't know,Difficult
25.0,Male,United Kingdom,I don't know,0,1-5,1.0,0.0,0.0,,0.0,2.0,5.0,No,Maybe,Maybe,7.0,Yes,Yes,Don't Know,1,Unknown,Sometimes,Often,No,Unknown,No,I don't know,Difficult
40.0,Male,Canada,I don't know,0,100-500,1.0,0.0,0.0,0.0,1.0,2.0,,No,Maybe,No,5.0,Don't Know,No response,Don't Know,1,Unknown,Not applicable to me,Not applicable to me,No,No,Yes,I don't know,I don't know
33.0,Male,Israel,Yes,0,6-25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,No,Maybe,Yes,0.0,Don't Know,No response,Don't Know,0,Unknown,Not applicable to me,Not applicable to me,No,No,No,Yes,Very easy
66.0,Female,United States of America,Yes,0,More than 1000,0.0,1.0,2.0,0.0,0.0,2.0,4.0,"Yes, I experienced",No,No,5.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Yes,No,No,I don't know,Somewhat difficult
31.0,Female,United States of America,Yes,0,100-500,0.0,1.0,0.0,1.0,0.0,2.0,2.0,"Yes, I observed",Maybe,Maybe,2.0,Yes,Yes,Yes,1,Unknown,Rarely,Often,Yes,Yes,No,I don't know,Somewhat easy
32.0,Male,Canada,Yes,0,100-500,0.0,1.0,1.0,1.0,1.0,1.0,3.0,"Yes, I observed",Yes,Maybe,6.0,Yes,Yes,No,1,Unknown,Rarely,Sometimes,Yes,Yes,Yes,Yes,Neither easy nor difficult
46.0,Male,United States of America,I don't know,1,Unknown,Unknown,,,,,,,No,Unknown,Yes,Unknown,Yes,Yes,Yes,1,Yes,Rarely,Sometimes,Unknown,Unknown,Unknown,Unknown,Unknown
30.0,Female,United States of America,Yes,0,100-500,1.0,1.0,0.0,1.0,2.0,2.0,4.0,No,No,No,5.0,Yes,Yes,Yes,1,Unknown,Rarely,Sometimes,Yes,Yes,I don't know,I don't know,Somewhat difficult
31.0,Male,United States of America,I don't know,0,100-500,1.0,1.0,0.0,1.0,0.0,1.0,1.0,"Yes, I observed",Maybe,Maybe,5.0,Yes,Yes,Yes,1,Unknown,Rarely,Often,Yes,Yes,No,Yes,Very easy
46.0,Male,Iceland,Yes,0,100-500,1.0,,0.0,,0.0,2.0,2.0,No,Yes,Maybe,2.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Not eligible for coverage / NA,Unknown,No,I don't know,Somewhat easy
29.0,Unknown,Canada,I don't know,1,Unknown,Unknown,,,,,,,"Yes, I observed",Unknown,Yes,Unknown,Yes,Yes,Yes,1,Yes,Often,Often,Unknown,Unknown,Unknown,Unknown,Unknown
28.0,Female,United States of America,Yes,0,More than 1000,0.0,,2.0,0.0,0.0,2.0,,No,Maybe,Maybe,2.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Not eligible for coverage / NA,No,No,I don't know,I don't know
34.0,Female,Japan,I don't know,0,6-25,0.0,0.0,0.0,0.0,0.0,2.0,5.0,Maybe/Not sure,No,No,3.0,Yes,Yes,Possibly,1,Unknown,Rarely,Sometimes,No,No,No,I don't know,Difficult
25.0,Male,United States of America,I don't know,0,26-100,1.0,1.0,0.0,1.0,0.0,0.0,5.0,No,Yes,Yes,0.0,Yes,Yes,Yes,1,Unknown,Rarely,Sometimes,Yes,Yes,No,No,Difficult
35.0,Male,United States of America,I don't know,0,100-500,0.0,1.0,1.0,1.0,1.0,1.0,2.0,No,No,Maybe,5.0,Yes,Yes,Possibly,1,Unknown,Sometimes,Often,Yes,Yes,Yes,Yes,Somewhat easy
25.0,Unknown,Indonesia,Yes,1,Unknown,Unknown,,,,,,,Maybe/Not sure,Unknown,Yes,Unknown,No,No response,No,0,Unsure,Rarely,Rarely,Unknown,Unknown,Unknown,Unknown,Unknown
40.0,Male,United States of America,No,0,100-500,1.0,1.0,2.0,1.0,0.0,2.0,2.0,No,Yes,Yes,5.0,Possibly,No response,Possibly,0,Unknown,Rarely,Rarely,Yes,Yes,No,I don't know,Somewhat easy
32.0,Male,United States of America,I don't know,0,100-500,0.0,2.0,2.0,0.0,0.0,2.0,1.0,Maybe/Not sure,Maybe,Yes,5.0,Yes,Yes,Don't Know,0,Unknown,Not applicable to me,Sometimes,I don't know,No,No,I don't know,Very easy
39.0,Male,United States of America,Yes,0,100-500,0.0,2.0,2.0,0.0,0.0,2.0,3.0,No,No,No,2.0,No,No response,Yes,1,Unknown,Rarely,Not applicable to me,I don't know,No,No,I don't know,Neither easy nor difficult
33.0,Male,United States of America,Yes,0,500-1000,1.0,1.0,2.0,1.0,2.0,2.0,,No,Maybe,Maybe,9.0,Yes,Yes,Yes,1,Unknown,Never,Often,Yes,Yes,I don't know,I don't know,I don't know
40.0,Male,United States of America,I don't know,0,100-500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,No,No,8.0,Possibly,No response,Possibly,1,Unknown,Often,Often,Yes,Yes,Yes,Yes,Very easy
42.0,Male,United States of America,I don't know,0,500-1000,1.0,1.0,2.0,0.0,0.0,1.0,1.0,Maybe/Not sure,Maybe,Yes,4.0,Yes,Yes,Yes,1,Unknown,Rarely,Sometimes,Yes,No,No,Yes,Very easy
32.0,Male,United States of America,Yes,0,More than 1000,0.0,2.0,2.0,0.0,2.0,2.0,5.0,"Yes, I observed",No,No,5.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,I don't know,No,I don't know,I don't know,Difficult
27.0,Female,United States of America,I don't know,0,More than 1000,0.0,1.0,1.0,1.0,0.0,0.0,4.0,"Yes, I experienced",Maybe,No,0.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Yes,Yes,No,No,Somewhat difficult
43.0,Female,United Kingdom,Yes,1,Unknown,Unknown,,,,,,,"Yes, I experienced",Unknown,Yes,Unknown,Yes,Yes,Yes,1,Yes,Sometimes,Often,Unknown,Unknown,Unknown,Unknown,Unknown
30.0,Female,Indonesia,I don't know,0,6-25,0.0,0.0,0.0,,0.0,0.0,5.0,Maybe/Not sure,Maybe,No,3.0,Possibly,No response,Possibly,1,Unknown,Often,Often,No,Unknown,No,No,Difficult
39.0,Male,United States of America,Yes,0,26-100,0.0,2.0,0.0,0.0,0.0,2.0,5.0,No,Maybe,Maybe,0.0,Yes,Yes,Yes,1,Unknown,Sometimes,Sometimes,I don't know,No,No,I don't know,Difficult
42.0,Female,United States of America,Yes,0,6-25,1.0,1.0,2.0,0.0,0.0,2.0,,No,Yes,No,7.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Yes,No,No,I don't know,I don't know
37.0,Other,Canada,Yes,0,6-25,1.0,1.0,0.0,1.0,1.0,1.0,2.0,"Yes, I observed",Maybe,Yes,8.0,Yes,Yes,Yes,1,Unknown,Often,Often,Yes,Yes,Yes,Yes,Somewhat easy
38.0,Female,United States of America,Yes,0,500-1000,0.0,2.0,2.0,1.0,0.0,2.0,5.0,"Yes, I experienced",No,No,2.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,I don't know,Yes,No,I don't know,Difficult
47.0,Male,United Kingdom,No,0,More than 1000,1.0,2.0,2.0,0.0,2.0,2.0,1.0,Maybe/Not sure,Maybe,Maybe,7.0,Don't Know,No response,No,0,Unknown,Not applicable to me,Not applicable to me,I don't know,No,I don't know,I don't know,Very easy
64.0,Male,United Kingdom,No,0,500-1000,1.0,2.0,1.0,0.0,1.0,2.0,4.0,"Yes, I observed",No,No,2.0,Yes,Yes,Yes,1,Unknown,Rarely,Sometimes,I don't know,No,Yes,I don't know,Somewhat difficult
28.0,Male,Canada,Yes,0,100-500,0.0,0.0,0.0,1.0,0.0,2.0,4.0,"Yes, I experienced",No,No,3.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,No,Yes,No,I don't know,Somewhat difficult
45.0,Male,United States of America,I don't know,1,Unknown,Unknown,,,,,,,Maybe/Not sure,Unknown,Yes,Unknown,Possibly,No response,Possibly,1,Yes,Not applicable to me,Sometimes,Unknown,Unknown,Unknown,Unknown,Unknown
37.0,Male,United Kingdom,No,0,100-500,1.0,1.0,2.0,1.0,1.0,1.0,1.0,No,Yes,Maybe,7.0,No,No response,No,0,Unknown,Not applicable to me,Not applicable to me,Yes,Yes,Yes,Yes,Very easy
30.0,Female,United Kingdom,Yes,0,26-100,1.0,1.0,1.0,1.0,1.0,2.0,1.0,No,Yes,Yes,9.0,Yes,Yes,Yes,1,Unknown,Sometimes,Often,Yes,Yes,Yes,I don't know,Very easy
25.0,Male,United Kingdom,No,0,100-500,0.0,2.0,0.0,0.0,0.0,2.0,2.0,No,Yes,Yes,5.0,No,No response,No,0,Unknown,Not applicable to me,Not applicable to me,I don't know,No,No,I don't know,Somewhat easy
25.0,Female,United Kingdom,Yes,0,26-100,1.0,0.0,1.0,,0.0,1.0,1.0,"Yes, I observed",No,Maybe,10.0,Yes,No,Unknown,0,Unknown,Often,Often,No,Unknown,No,Yes,Very easy
